Number,"Asset Key","Asset Definition",Status,Service,"Access Point"
270165,08:26:97:8d:88:12,Zyxel,"Not Available",1251746989,
284805,4C:C5:3E:72:A0:81,Zyxel,"Not Available",1251797893,
250703,08:26:97:70:cd:01,Zyxel,"Not Available",1251702204,
271771,08:26:97:95:53:E3,Zyxel,"Not Available",1251683037,
292263,4c:c5:3e:72:9b:65,zyxel,"Not Available",1251804581,
255387,08:26:97:84:89:49,zyxel,"Not Available",1251713310,
274946,08:26:97:95:0E:6B,Zyxel,"Not Available",1251761436,
299592,4c:c5:3e:7a:9b:c0,Zyxel,"Not Available",1251828469,
281130,08:26:97:93:d8:7b,Zyxel,"Not Available",1251726699,
263659,08:26:97:84:c8:e5,Zyxel,"Not Available",1251735649,
282774,4c:c5:3e:5f:20:61,Zyxel,"Not Available",1251788801,
285141,4C:C5:3E:72:E5:75,Zyxel,"Not Available",1251813540,
292602,4c:c5:3e:7a:6c:ec,Zyxel,"Not Available",1251819992,
238985,98:0D:67:F3:6A:0C,zyxel,"Not Available",1251629647,
270453,08:26:97:94:cd:bb,Zyxel,"Not Available",1251744491,
251535,08:26:97:84:c2:79,zyxel,"Not Available",1467921,
273840,08:26:97:93:4d:97,Zyxel,"Not Available",1251758845,
292655,08:26:97:93:ed:3f,Zyxel,"Not Available",1251820136,
256770,08:26:97:84:CD:95,Zyxel,"Not Available",1251715928,
275291,4C:C5:3E:5F:11:61,zyxel,"Not Available",1251763076,
300103,4C:C5:3E:72:D4:41,Zyxel,"Not Available",1251833044,
258469,08:26:97:84:b4:75,Zyxel,"Not Available",1251726438,
281490,4c:c5:3e:5f:22:4d,Zyxel,"Not Available",1251743442,
239614,08:26:97:72:b0:3d,zyxel,"Not Available",1251825592,
264779,08:26:97:84:bf:3D,zyxel,"Not Available",1251684671,
283673,4c:c5:3e:5e:b9:89,Zyxel,"Not Available",1251783616,
246744,08:26:97:7C:66:D1,zyxel,"Not Available",1251690318,
270707,08:26:97:95:4f:db,zyxel,"Not Available",1251746593,
288322,4c:c5:3e:72:a0:45,zyxel,"Not Available",1251802110,
251841,08:26:97:7c:6d:61,zyxel,"Not Available",1251707140,
297861,4c:c5:3e:5e:ca:45,Zyxel,"Not Available",1251819706,
257110,08:26:97:7b:69:39,zyxel,"Not Available",1251689203,
258836,08:26:97:7C:6A:C1,Zyxel,"Not Available",1251729571,
281737,4c:c5:3e:5e:cf:01,Zyxel,"Not Available",1251778626,
283984,08:26:97:88:E1:61,Zyxel,"Not Available",1251793170,
258850,08:26:97:84:59:f1,Zyxel,"Not Available",1251724073,
243077,08:26:97:70:D1:2D,zyxel,"Not Available",1251645330,
267440,08:26:97:84:5d:8d,zyxel,"Not Available",1251739604,
239215,08:26:97:72:a5:d5,zyxel,"Not Available",1491586,
263748,08:26:97:84:ad:25,Zyxel,"Not Available",1251728309,
245607,08:26:97:6B:A9:D6,zyxel,"Not Available",1251689030,
270503,08:26:97:94:C9:77,Zyxel,"Not Available",1251749932,
251569,08:26:97:84:c2:cd,zyxel,"Not Available",1251693922,
273910,08:26:97:88:e7:cd,Zyxel,"Not Available",1251759169,
292716,08:26:97:68:38:02,zyxel,"Not Available",1251820522,
256831,08:26:97:84:a5:b1,Zyxel,"Not Available",1251716332,
275340,4c:c5:3e:5f:07:71,zyxel,"Not Available",1251771838,
300276,08:26:97:7C:A6:D9,Zyxel,"Not Available",1251823396,
258620,08:26:97:89:60:39,Zyxel,"Not Available",1251727196,
281553,08:26:97:94:14:93,Zyxel,"Not Available",1251783969,
283750,08:26:97:93:EC:67,Zyxel,"Not Available",1251787353,
246810,08:26:97:72:a5:a5,zyxel,"Not Available",1251691167,
270785,08:26:97:7C:63:AD,Zyxel,"Not Available",1251750550,
288432,08:26:97:84:BA:E1,Zyxel,"Not Available",1251802482,
251902,08:26:97:84:8E:65,zyxel,"Not Available",1251694293,
274143,08:26:97:64:ec:a1,Zyxel,"Not Available",1251756769,
297949,08:26:97:93:5E:EF,Zyxel,"Not Available",1251822942,
257144,08:26:97:7B:77:0D,Zyxel,"Not Available",1251696680,
275624,08:26:97:84:7e:09,Zyxel,"Not Available",1251770955,
281770,4C:C5:3E:5F:27:75,Zyxel,"Not Available",1251775070,
258918,08:26:97:84:c5:f1,Zyxel,"Not Available",1251648651,
243140,98:0d:67:f7:a2:be,zyxel,"Not Available",1251677428,
284063,4c:c5:3e:5e:b0:e9,Zyxel,"Not Available",1251746111,
288922,4c:c5:3e:5e:cf:f1,Zyxel,"Not Available",1251802450,
252348,08:26:97:7C:A6:E5,zyxel,"Not Available",1251709451,
274399,08:26:97:95:08:9b,Zyxel,"Not Available",1251766143,
298394,4C:C5:3E:7A:95:6C,Zyxel,"Not Available",1251805303,
257376,08:26:97:84:c0:2d,Zyxel,"Not Available",1251716809,
275916,4c:c5:3e:5f:0b:cd,Zyxel,"Not Available",1251776993,
260985,08:26:97:84:c5:d9,Zyxel,"Not Available",1251720616,
243496,08:26:97:7c:66:89,zyxel,"Not Available",1251654278,
269309,08:26:97:95:53:53,Zyxel,"Not Available",1251739090,
284352,08:26:97:94:2E:F7,Zyxel,"Not Available",1251786084,
250308,08:26:97:7b:74:b5,zyxel,"Not Available",1251684643,
271374,08:26:97:93:4a:a3,Zyxel,"Not Available",1251751259,
274629,08:26:97:93:e0:c7,Zyxel,"Not Available",1251764721,
298753,4c:c5:3e:72:cf:0d,Zyxel,"Not Available",1251822925,
280347,08:26:97:7b:68:cd,Zyxel,"Not Available",1251779443,
234912,08:26:97:70:ce:8d,zyxel,"Not Available",1456360,
254827,08:26:97:88:e1:fd,zyxel,"Not Available",1251711557,
257652,08:26:97:84:CA:B9,Zyxel,"Not Available",1251721501,
280356,4c:c5:3e:5f:23:01,Zyxel,"Not Available",1251776340,
262255,08:26:97:84:5e:95,Zyxel,"Not Available",1251724175,
282348,08:26:97:94:15:0b,Zyxel,"Not Available",1251781390,
243950,08:26:97:7b:6f:09,zyxel,"Not Available",1251683315,
